,volcanic_rock_voucher_10500_d3,djembes_d3,croissants_d3,jams_d3,volcanic_rock_voucher_10000_d3,kelp_d3,volcanic_rock_voucher_9750_d3,picnic_basket1_d3,picnic_basket2_d3,volcanic_rock_voucher_9500_d3,rainforest_resin_d3,volcanic_rock_voucher_10250_d3,squid_ink_d3,volcanic_rock_d3
2001400,102.5,13493.162162162162,4321.5,6631.5,514.0,2031.0392156862745,760.5,59234.5,30505.70731707317,1010.0,10000.0,279.5,1970.0588235294117,10509.818681318682
2001500,99.5,13490.859375,4321.169117647059,6631.5,507.5,2031.0222222222221,755.5,59229.5,30507.736842105263,1004.5,10000.130434782608,274.5,1970.5111111111112,10504.5
2001600,99.5,13490.833333333334,4321.0,6631.5,507.5,2031.0,755.5,59228.5,30503.36111111111,1005.0,10000.0,274.5,1972.0,10504.5
2001700,96.5,13490.5,4321.0,6631.5,502.5,2031.0,749.5,59230.5,30503.5,999.5,10000.0,269.5,1971.5645161290322,10499.166666666666
2001800,96.5,13488.0,4320.786764705882,6631.5,501.5,2030.8709677419354,748.5,59231.5,30501.662162162163,997.5,10000.0,268.5,1972.3064516129032,10497.5
2001900,93.5,13488.5,4320.5,6632.0,496.94736842105266,2031.5,744.0,59234.40625,30500.253012048193,993.5,10000.0,264.5,1970.5,10493.5
2002000,93.88235294117646,13488.5,4320.5,6632.0,496.88235294117646,2031.7333333333333,743.8823529411765,59233.5,30500.5,993.8823529411765,10000.0,264.88235294117646,1973.7333333333333,10492.789189189189
2002100,91.5,13487.5,4320.5,6632.0,491.5,2032.0,739.5,59230.5,30501.654761904763,988.5,10000.0,260.5,1972.5,10488.5
2002200,90.5,13487.5,4320.5,6632.0,489.5,2032.0,736.5,59231.5,30506.5,985.5,10000.019607843138,258.5,1973.03125,10485.5
2002300,93.5,13488.0,4320.0,6632.0,494.5,2031.5,742.5,59229.5,30506.5,991.5,10000.0,263.5,1973.0,10491.5
2002400,90.5,13488.152173913044,4320.5,6632.0,489.5,2031.5833333333333,737.0,59233.5,30507.680555555555,986.5,10000.0,258.5,1974.5833333333333,10486.203608247422
2002500,88.5,13488.0,4320.5,6632.0,483.5,2031.9761904761904,731.5,59234.5,30509.75806451613,980.5,10000.0,254.5,1974.0238095238096,10480.5
2002600,85.75,13488.204545454546,4320.5,6632.5,479.75,2032.0,726.5,59232.5,30511.5,975.75,10000.0,249.75,1974.0,10475.0
2002700,81.0,13488.0,4320.5,6632.5,469.5,2031.9811320754718,715.5,59230.5,30512.0,965.0,9999.888888888889,241.5,1973.5283018867924,10464.5
2002800,84.5,13487.5,4320.5,6632.5,477.5,2032.0169491525423,724.0,59235.75,30510.75,972.5,10000.0,247.5,1973.0,10472.511428571428
2002900,84.5,13488.202898550724,4320.223300970873,6632.5,476.5,2032.0,723.5,59234.5,30508.5,973.5,10000.507692307692,248.5,1973.04,10473.0
2003000,87.5,13488.5,4319.78640776699,6632.5,482.5,2032.0,729.5,59233.5,30504.341463414636,978.5,10000.018181818183,252.5,1973.5,10478.5
2003100,85.53846153846153,13488.0,4319.5,6632.5,478.53846153846155,2032.5272727272727,724.5384615384615,59233.5,30502.69,973.56,10000.0,248.53846153846155,1972.982456140351,10473.5
2003200,87.5,13488.5,4319.215328467153,6632.5,483.5,2032.03125,730.0,59230.5,30502.0,979.5,10000.125,253.5,1973.0,10479.115384615385
2003300,87.5,13489.171052631578,4319.19918699187,6632.5,482.5,2032.5,730.5,59226.52631578947,30498.5,979.5,9999.985507246376,253.5,1973.0,10479.5
2003400,87.5,13489.125,4319.151020408163,6632.5,483.5,2032.0,730.5,59224.18518518518,30494.5,980.5,10000.0,253.5,1972.5,10480.131578947368
2003500,92.5,13488.0,4319.789719626168,6633.020289855072,492.5,2032.5,740.5,59228.34482758621,30495.58620689655,989.5,10000.014084507042,261.5,1972.9666666666667,10488.863128491621
2003600,89.5,13488.5,4319.830985915493,6632.491452991453,487.5,2032.4318181818182,735.5,59229.5,30496.283783783783,984.5,10000.0,257.5,1972.4318181818182,10484.0
2003700,89.5,13487.5,4319.5,6633.0,486.5,2032.030303030303,733.5,59224.5,30493.625,983.5,10000.12676056338,256.5,1972.469696969697,10482.811764705883
2003800,89.5,13488.222222222223,4319.727272727273,6633.0,486.5,2031.516129032258,734.5,59230.846153846156,30495.776315789473,983.5,9999.983050847457,256.5,1972.516129032258,10483.5
2003900,88.5,13488.5,4320.0,6633.5,487.5,2031.5,733.0,59237.4625,30499.5875,982.5,10000.0,255.5,1971.5,10481.825757575758
2004000,86.5,13488.8125,4320.217391304348,6633.5,479.5,2031.3809523809523,726.5,59236.530303030304,30502.0,976.5,10000.35064935065,250.5,1971.3809523809523,10475.5
2004100,84.5,13488.868421052632,4320.1551724137935,6634.0,475.5,2031.3090909090909,723.5,59237.0,30504.0,973.0,10000.0,247.5,1973.8909090909092,10472.5
2004200,81.77777777777777,13488.0,4320.0,6634.0,471.0,2031.4237288135594,717.7777777777778,59233.166666666664,30506.694444444445,966.7777777777778,10000.0,242.77777777777777,1972.4237288135594,10466.5
2004300,81.5,13488.5,4320.0,6634.0,470.5,2031.5,715.5,59228.53333333333,30504.5,965.0,9999.904761904761,241.5,1971.5,10464.5
2004400,78.5,13488.878787878788,4319.786259541985,6634.0,463.5,2031.327868852459,709.5,59224.5,30501.757142857143,959.0,10000.0,236.5,1971.8852459016393,10458.5
2004500,77.5,13488.5,4319.765217391305,6634.5,461.5,2030.915254237288,708.5,59225.5,30503.321428571428,958.5,10000.0,235.5,1972.915254237288,10457.851123595505
2004600,75.5,13489.14393939394,4319.798449612403,6634.5,456.5,2030.9772727272727,702.5,59222.85106382979,30503.68181818182,951.5,10000.28125,230.5,1971.9772727272727,10451.5
2004700,77.5,13489.0,4319.806451612903,6634.5,462.5,2030.509090909091,708.5,59225.51351351351,30505.0,958.5,10000.0,235.5,1972.0,10457.5
2004800,80.5,13489.0,4319.777777777777,6634.0,467.5,2030.5283018867924,714.5,59227.220588235294,30504.720588235294,964.5,10000.0,240.5,1972.5283018867924,10463.830357142857
2004900,80.5,13489.0,4320.183168316832,6634.0,468.5,2030.5,715.5,59237.5,30506.36842105263,965.0,10000.0,240.5,1973.5,10464.513513513513
2005000,79.5,13489.0,4320.0,6634.0,467.5,2030.0212765957447,713.5,59239.5,30507.676470588234,963.0,10000.014492753624,239.5,1973.0212765957447,10462.510714285714
2005100,75.5,13490.766129032258,4320.0,6634.0,456.5,2030.0196078431372,703.5,59242.46315789474,30506.0,953.5,9999.865671641792,231.5,1972.5098039215686,10453.139784946237
2005200,76.77272727272727,13489.19387755102,4319.819444444444,6634.0,460.77272727272725,2030.0416666666667,706.7727272727273,59241.52777777778,30505.5,955.7727272727273,10000.0,233.77272727272728,1973.0,10455.127218934911
2005300,74.5,13490.5,4319.770161290323,6634.0,455.5,2030.5,702.5,59242.5,30508.5,951.5,10000.0,229.5,1972.5,10451.204419889502
2005400,74.5,13490.5,4319.5,6634.0,454.5,2030.45,701.5,59240.5,30510.738095238095,950.5,10000.09677419355,229.5,1973.45,10450.139534883721
2005500,70.5,13490.173076923076,4319.5,6634.0,446.5,2030.3636363636363,691.5,59240.5,30510.5,941.5,10000.0,221.5,1973.3636363636363,10440.790697674418
2005600,72.5,13490.5,4319.8448275862065,6634.0,451.5,2030.982142857143,696.5,59242.5,30511.685714285715,946.0,10000.0,225.5,1974.482142857143,10445.5
2005700,71.5,13490.798076923076,4320.0,6634.0,449.5,2031.0,694.5,59242.5,30513.67142857143,944.5,10000.0,224.5,1974.0,10444.0
2005800,70.5,13491.0,4320.227611940299,6634.0,445.0,2031.0,690.5,59246.5,30515.65,939.5,10000.0,220.5,1973.5102040816328,10439.5
2005900,66.5,13490.858490566037,4320.5,6634.0,438.5,2030.8235294117646,682.5,59245.5,30516.5,932.0,9999.842105263158,214.5,1973.3333333333333,10431.5
2006000,72.5,13490.5,4320.5,6634.0,450.5,2030.9583333333333,696.5,59240.125,30516.36470588235,945.5,10000.0,225.0,1974.0,10445.168393782384
2006100,70.5,13490.230158730159,4321.0,6634.0,444.5,2030.909090909091,691.5,59247.5,30516.365853658535,940.5,9999.904761904761,221.5,1972.909090909091,10440.5
2006200,72.5,13490.191780821919,4320.5,6634.0,452.5,2031.0,697.5,59239.5,30517.654761904763,947.5,10000.0,226.5,1974.5,10447.0
2006300,70.4186046511628,13488.188679245282,4320.5,6634.0,446.4186046511628,2031.0408163265306,691.4186046511628,59232.48101265823,30516.962025316454,941.0,10000.0,221.41860465116278,1974.530612244898,10440.5
2006400,71.84210526315789,13487.758064516129,4320.5,6633.990328820116,447.6842105263158,2030.46,693.8421052631579,59230.5,30513.5,943.0,10000.0,222.8421052631579,1975.0,10442.5
2006500,71.5,13489.5,4320.5,6634.0,448.5,2030.5348837209303,694.5,59232.5,30512.236842105263,943.5,10000.0,223.5,1973.5348837209303,10443.5
2006600,70.5,13490.5,4320.5,6634.0,446.5,2030.5,690.5,59233.5,30512.5,940.5,10000.0,220.5,1975.5,10439.86432160804
2006700,64.5,13490.185714285713,4320.5,6634.0,432.5,2030.377049180328,677.0,59231.16216216216,30509.46,926.5,10000.0,209.5,1974.377049180328,10425.792134831461
2006800,67.5,13490.175925925925,4320.5,6633.5,437.5,2031.0,683.5,59231.5,30508.5,932.5,10000.0,214.5,1976.0208333333333,10432.513440860215
2006900,67.60606060606061,13490.5,4320.5,6633.5,438.6060606060606,2031.5333333333333,683.6060606060606,59228.27027027027,30508.22972972973,933.6060606060606,10000.0,215.6060606060606,1974.5333333333333,10432.816425120773
2007000,66.5,13490.5,4320.5,6633.5,437.5,2031.453125,682.5,59236.0,30508.36111111111,931.5,10000.0,214.5,1974.453125,10431.5
2007100,68.5,13491.5,4320.5,6633.0,440.5,2031.5,686.5,59234.5,30509.296875,935.5,10000.0,216.5,1976.5,10435.193717277487
2007200,69.3170731707317,13492.858333333334,4320.5,6633.0,445.3170731707317,2031.5,689.3170731707318,59237.5,30509.316666666666,938.3170731707318,10000.0,219.3170731707317,1977.5,10438.5
2007300,69.5,13493.0,4320.5,6633.0,444.5,2031.5,688.0,59230.47222222222,30508.777777777777,937.5,10000.0,218.5,1976.5,10437.197674418605
2007400,69.5,13492.808333333332,4320.0,6632.5,443.5,2031.5454545454545,689.5,59229.98591549296,30505.6338028169,939.0,10000.0,219.5,1976.5454545454545,10438.49
2007500,70.5,13492.860655737704,4319.826612903225,6632.5,445.5,2031.5,692.5,59230.5,30503.696428571428,942.0,10000.0,221.5,1975.5,10441.5
2007600,70.5,13493.0,4319.86220472441,6632.5,446.5,2031.5,692.5,59223.31034482759,30506.46511627907,942.0,10000.0,221.5,1975.0384615384614,10441.493606138107
2007700,68.5,13492.826388888889,4319.820388349514,6632.979742173113,440.5,2031.5409836065573,687.5,59229.5,30507.6875,936.5,9999.939393939394,217.5,1975.5409836065573,10435.856164383562
2007800,70.5,13492.5,4319.817796610169,6633.0,446.5,2031.5106382978724,691.5,59227.48837209302,30507.5,941.0,10000.181818181818,221.5,1975.0425531914893,10440.5
2007900,73.72727272727273,13492.5,4319.5,6632.9857142857145,453.72727272727275,2031.5094339622642,698.7272727272727,59226.51162790698,30509.674418604653,948.4090909090909,9999.985507246376,226.72727272727272,1973.9811320754718,10447.5
2008000,71.70833333333333,13493.0,4319.5,6633.0,449.7083333333333,2030.921568627451,693.7083333333334,59232.5,30506.68604651163,943.7083333333334,10000.35593220339,223.70833333333334,1974.450980392157,10443.0
2008100,73.35714285714286,13492.5,4319.5,6633.180790960452,452.35714285714283,2030.8979591836735,698.3571428571429,59228.5,30505.674418604653,947.3571428571429,10000.0,226.35714285714286,1974.3469387755101,10447.508816120906
2008200,74.5,13491.816666666668,4319.5,6633.0,455.5,2031.5833333333333,701.5,59226.5,30510.666666666668,951.5,10000.0,229.5,1977.0,10450.863157894737
2008300,70.5,13492.0,4320.2,6633.0,445.5,2031.5,691.5,59229.18085106383,30514.5,941.5,10000.014084507042,221.5,1978.5,10440.5
2008400,71.5,13492.5,4320.0,6633.0,448.5,2031.3,695.5,59227.5,30512.28205128205,945.0,10000.0,224.5,1977.8666666666666,10444.5
2008500,72.5,13492.5,4320.248091603054,6633.5,452.5,2031.5,697.5,59225.5,30513.296296296296,947.5,10000.0,226.5,1976.5,10446.790697674418
2008600,70.5,13493.166666666666,4320.212418300654,6633.0,446.5,2031.54,692.0384615384615,59226.70909090909,30515.5,941.5,10000.0,221.5,1977.54,10441.141025641025
2008700,68.5,13492.970873786408,4320.5,6632.5,440.5,2031.5454545454545,687.5,59224.5,30517.716666666667,936.5,10000.0,217.5,1979.5454545454545,10436.5
2008800,66.5,13492.842857142858,4320.5,6632.0,438.5,2031.468085106383,683.5,59218.5,30516.297297297297,932.5,9999.470588235294,214.5,1980.468085106383,10432.5
2008900,66.5,13492.5,4320.195512820513,6632.0,436.5,2031.5,682.5,59216.5,30515.358974358973,931.5,10000.0,213.5,1980.5,10431.154054054054
2009000,66.5,13492.879032258064,4320.0,6632.0,438.5,2031.5,682.5,59214.46296296296,30515.64814814815,932.5,10000.0,214.5,1981.0,10432.201030927836
2009100,63.5,13496.0,4320.0,6631.5,429.5,2031.5,675.0,59216.0,30512.291666666668,924.5,10000.0,207.5,1980.5,10423.5
2009200,63.5,13495.5,4320.0,6631.5,431.5,2031.5636363636363,675.5,59222.5,30511.214285714286,924.5,10000.10909090909,207.5,1981.5636363636363,10424.5
2009300,62.5,13495.5,4320.0,6631.5,428.5,2031.4,673.5,59222.0,30514.5,922.5,10000.28947368421,206.5,1980.909090909091,10422.5
2009400,63.5,13495.5,4320.0,6631.5,430.5,2031.5,676.5,59219.5,30516.720588235294,925.5,10000.0,208.5,1982.0,10425.5
2009500,63.5,13495.805970149253,4320.169421487603,6631.5,431.5,2031.532258064516,676.5,59216.5,30516.670731707316,925.5,10000.0,208.5,1983.0,10425.5
2009600,66.5,13495.8203125,4319.842741935484,6631.5,437.5,2031.764705882353,682.5,59210.0,30513.32857142857,932.5,10000.0,213.5,1982.8695652173913,10431.5
2009700,63.5,13494.5,4319.783333333334,6632.0,432.5,2031.0,676.5,59206.5,30514.26923076923,926.5,10000.0,209.5,1982.0,10425.829787234043
2009800,64.5,13495.0,4319.5,6632.0,433.5,2031.5,679.5,59205.475409836065,30514.475409836065,928.5,10000.016949152543,210.5,1982.5,10428.153645833334
2009900,63.5,13495.5,4319.5,6632.0,431.5,2031.5,677.5,59207.5,30515.654761904763,927.5,10000.0,209.5,1982.5,10426.834302325582
2010000,61.5,13494.802816901409,4319.522842639594,6632.0,427.0,2031.5,670.5,59209.5,30515.69387755102,920.0,9999.877192982456,203.5,1983.0,10419.5
2010100,63.3125,13495.0,4319.5,6632.0,429.3125,2031.5416666666667,676.3125,59213.0,30515.66129032258,925.3125,10000.0,208.3125,1984.0,10425.0
2010200,61.5,13494.5,4319.762626262626,6631.5,426.5,2031.5,672.0,59214.5,30514.369047619046,921.5,10000.0,204.5,1982.5,10420.852777777778
2010300,62.5,13494.858333333334,4319.858208955224,6632.0,426.5,2031.5,673.5,59219.0,30513.743243243243,922.5,10000.0,205.5,1983.0454545454545,10422.5
2010400,63.5,13495.188679245282,4319.5,6632.0,428.5,2031.5384615384614,676.5,59223.5,30511.5,925.5,10000.32142857143,208.5,1984.0,10425.0
2010500,63.5,13495.147887323943,4319.740740740741,6632.0,431.5,2031.5,677.5,59221.5,30511.5,927.5,9999.64406779661,209.5,1983.017857142857,10427.149390243903
2010600,65.5,13494.5,4319.5,6632.0,437.5,2031.530612244898,682.5,59220.5,30509.5,931.5,10000.0,212.5,1983.0,10431.5
2010700,64.5,13494.801886792453,4319.5,6632.0,434.5,2031.0,679.0,59226.5,30510.0,928.5,9999.86301369863,210.5,1982.5,10427.867549668874
2010800,66.5,13494.5,4319.5,6632.0,440.5,2031.0444444444445,684.5,59229.5,30513.73076923077,934.5,9999.985507246376,214.5,1981.9787234042553,10433.835443037975
2010900,68.0,13494.776785714286,4319.5,6632.0,444.5,2031.0,689.5,59233.5,30513.64864864865,939.5,10000.0,218.5,1981.5,10438.857868020305
2011000,71.5,13495.0,4319.5,6632.0,452.5,2030.9833333333333,698.5,59231.47169811321,30516.231884057972,948.0,10000.0,225.5,1981.5,10447.5
2011100,68.5,13495.19642857143,4319.5,6632.5,443.5,2031.0,689.5,59240.5,30515.261904761905,939.5,10000.0,218.5,1980.032258064516,10438.797235023041
2011200,71.5,13495.5,4320.0,6632.4915254237285,452.5,2030.9827586206898,698.5,59238.514285714286,30515.0,948.5,9999.90322580645,225.5,1981.5,10447.489411764705
2011300,69.5,13495.795454545454,4319.821138211382,6633.0,446.5,2031.0,693.5,59233.51315789474,30514.63157894737,943.5,10000.223880597016,221.5,1981.5,10442.841584158416
2011400,72.5,13496.0,4320.0,6633.0,452.5,2031.0,700.0,59233.5,30514.344444444443,949.5,10000.0,227.0,1982.5,10449.0
2011500,71.5,13497.0,4320.198170731707,6633.0,451.5,2030.8923076923077,697.5,59235.51063829787,30516.0,947.5,9999.917808219177,225.5,1981.876923076923,10446.854938271605
2011600,70.5,13497.0,4320.235576923077,6633.0,449.5,2031.0,694.5,59240.5,30517.32857142857,944.5,10000.0,223.0,1983.0,10444.0
2011700,68.5,13496.195652173914,4320.5,6633.5,444.5,2031.0,690.5,59233.5,30519.666666666668,939.5,10000.0,219.5,1982.5,10439.5
2011800,67.5,13498.5,4320.5,6633.0,440.5,2031.0,686.5,59234.5,30520.5,936.0,10000.310344827587,216.5,1980.5,10435.5
2011900,64.5,13498.808823529413,4320.5,6632.5,432.5,2031.0,679.5,59233.5,30519.697674418603,928.5,10000.016949152543,210.5,1979.5,10428.511568123393
2012000,65.5,13498.816455696202,4320.758928571428,6632.5,435.5,2031.5,681.5,59239.49411764706,30520.49411764706,931.0,10000.0,212.5,1980.0,10430.5
2012100,65.5,13499.224137931034,4321.0,6632.5,435.5,2031.0454545454545,681.5,59244.52173913043,30526.695652173912,930.5,10000.0,212.5,1980.5,10430.5
2012200,64.7,13499.5,4321.0,6632.50566893424,433.7,2031.0,679.7,59237.5,30528.35714285714,928.7,10000.0,210.7,1979.5,10428.5
2012300,66.5,13499.5,4320.762096774193,6633.0,439.5,2031.344827586207,685.5,59237.5,30525.71875,934.5,10000.0,214.5,1978.344827586207,10434.175126903554
2012400,67.5,13498.86923076923,4320.81007751938,6633.0,441.5,2031.5,687.5,59237.0,30524.293103448275,936.5,10000.111111111111,216.5,1977.5,10436.19822485207
2012500,65.5,13499.194915254237,4320.824561403509,6633.0,439.0,2031.557142857143,683.5,59237.0,30524.0,932.5,10000.0,213.5,1976.557142857143,10432.5
2012600,62.5,13497.5,4320.5,6633.0,429.5,2031.5,674.5,59239.5,30518.6935483871,924.0,10000.0,206.5,1975.016129032258,10423.5
2012700,63.5,13498.154411764706,4320.803333333333,6633.0,432.5,2031.5,677.5,59241.45054945055,30519.252747252747,927.0,10000.0,208.5,1973.967741935484,10426.5
2012800,65.5,13497.82191780822,4320.5,6632.5,434.5,2031.5230769230768,682.5,59241.5,30518.3375,931.5,10000.0,212.5,1975.0153846153846,10431.181286549707
2012900,63.5,13497.8,4320.800724637681,6632.5,431.5,2031.5384615384614,677.5,59241.5,30518.0,926.5,10000.0,208.5,1972.5384615384614,10426.5
2013000,63.5,13497.5,4321.0,6632.0,431.5,2031.0,677.5,59238.5,30519.33823529412,927.5,10000.0,209.5,1973.5,10426.5
2013100,62.5,13497.867647058823,4321.050505050505,6632.0,427.0,2030.8695652173913,674.0,59235.5,30517.0,923.5,10000.0,206.5,1975.3333333333333,10422.81592039801
2013200,59.5,13497.0,4320.751968503937,6632.0,420.5,2031.5254237288136,666.5,59237.5,30513.70512820513,915.5,10000.0,200.5,1975.0,10415.5
2013300,58.5,13496.156862745098,4320.778260869565,6631.991780821918,419.5,2031.5483870967741,664.5,59240.5,30514.5,914.5,10000.0,199.0,1974.0,10414.0
2013400,58.5,13496.16304347826,4320.77734375,6632.0,420.5,2031.3,665.5,59234.5,30513.266666666666,915.0333333333333,10000.0,199.5,1974.8666666666666,10414.5
2013500,57.5,13496.0,4321.0,6632.5,416.5,2031.3846153846155,662.5,59238.5,30516.5,911.5,10000.222222222223,196.5,1975.923076923077,10411.135
2013600,55.5,13495.854838709678,4321.220183486239,6632.5,410.5,2031.5454545454545,657.5,59232.5,30518.72972972973,906.5,10000.0,192.5,1975.5454545454545,10405.5
2013700,55.5,13495.0,4321.204460966543,6632.5,410.5,2031.952380952381,656.5,59236.5,30513.715909090908,906.5,10000.0,192.5,1975.4761904761904,10405.819306930693
2013800,47.5,13494.0,4321.182242990654,6633.0,389.5,2032.0,632.5,59237.1935483871,30516.6935483871,882.0,10000.0,174.5,1975.5,10381.491477272728
2013900,50.5,13494.5,4321.5,6632.975206611571,397.5,2032.0,643.5,59237.0,30517.256097560974,892.5,10000.0,182.5,1975.0,10392.5
2014000,46.5,13494.0,4321.5,6632.5,386.5,2032.0181818181818,630.5,59233.0,30514.5,880.0,10000.0,172.5,1976.0,10379.5
2014100,51.5,13494.0,4322.163265306122,6632.5,399.5,2032.0,644.5,59242.47959183674,30514.70408163265,894.0,10000.382352941177,183.5,1977.4705882352941,10393.5
2014200,55.5,13494.121212121212,4322.0,6632.5,412.5,2032.0,657.5,59242.5,30512.0,907.5,10000.0,193.5,1977.5,10406.5
2014300,51.5,13493.182432432432,4322.15,6632.0,402.5,2031.983606557377,647.5,59245.0,30512.727272727272,896.5,9999.915492957747,184.5,1976.0,10396.5
2014400,54.5,13494.0,4322.231818181818,6632.0,410.5,2032.0,655.5,59243.5,30511.735294117647,904.5,10000.0,190.5,1977.98,10403.825
2014500,55.4054054054054,13493.5,4322.234615384616,6631.5,412.4054054054054,2032.0,656.4054054054054,59239.5,30511.0,906.0,10000.0,192.40540540540542,1977.5208333333333,10405.5
2014600,54.26190476190476,13493.5,4322.0,6632.0,409.26190476190476,2032.0,656.2619047619048,59243.5,30511.328125,905.2619047619048,10000.0,191.26190476190476,1978.0,10405.143229166666
2014700,59.5,13494.5,4322.0,6631.78431372549,421.0,2032.0,667.5,59241.5,30505.671875,917.5,9999.980392156862,200.5,1977.5,10416.824104234527
2014800,56.31372549019608,13493.0,4322.174418604651,6632.0,416.3137254901961,2032.04,660.3137254901961,59240.5,30505.32608695652,910.3137254901961,10000.0,195.31372549019608,1978.58,10409.5
2014900,58.5,13491.5,4322.195205479452,6632.0,419.5,2032.0,665.5,59236.5,30503.720588235294,914.5,10000.0,198.5,1978.0,10414.131188118812
2015000,62.5,13492.0,4322.252100840336,6632.014925373134,429.5,2032.0444444444445,675.5,59233.5,30499.659090909092,925.5,10000.015384615384,207.5,1978.5333333333333,10424.84236453202
2015100,63.348837209302324,13492.0,4322.0,6632.0,433.3488372093023,2032.0188679245282,679.3488372093024,59238.5,30499.30769230769,928.3488372093024,9999.788732394367,209.34883720930233,1979.0,10428.5
2015200,65.5,13491.5,4321.804964539007,6632.0,437.5,2031.9433962264152,684.0,59236.5,30499.0,933.5,10000.0,213.5,1978.0181818181818,10433.18918918919
2015300,67.5,13491.5,4321.830578512397,6632.020920502092,441.5,2031.923076923077,688.5,59233.5,30496.670731707316,938.5,9999.847457627118,217.5,1976.9615384615386,10437.81981981982
2015400,67.3859649122807,13491.5,4321.5,6632.0,443.3859649122807,2032.0,690.3859649122807,59231.0,30494.70408163265,939.3859649122807,10000.0,218.3859649122807,1973.9636363636364,10439.0
2015500,68.5,13491.194915254237,4321.5,6631.5,446.5,2031.5555555555557,691.5,59228.5,30493.697368421053,940.5,9999.736842105263,219.5,1974.0,10440.5
2015600,69.5,13491.818965517241,4321.5,6631.0,448.5,2031.8392857142858,695.5,59226.5,30494.304347826088,945.5,10000.0,223.5,1973.857142857143,10445.17543859649
2015700,70.5,13491.0,4321.5,6631.5,451.5,2031.5,697.5,59224.467741935485,30494.6935483871,946.5,10000.0,224.5,1973.5,10446.1796875
2015800,75.66666666666667,13491.5,4321.5,6631.507645259939,462.6666666666667,2031.5272727272727,708.6666666666666,59222.5,30494.651515151516,957.6666666666666,10000.0,233.66666666666666,1974.0363636363636,10457.5
2015900,80.5,13491.0,4321.5,6631.5,472.5,2031.5,719.5,59223.5,30494.7,969.5,10000.019607843138,242.5,1972.0,10469.0
2016000,77.5,13490.0,4321.5,6631.5,464.5,2031.3064516129032,712.5,59225.5,30496.333333333332,961.5,10000.0,236.5,1969.3064516129032,10461.5
2016100,75.5,13489.823943661971,4321.190625,6632.0,462.5,2031.5,708.5,59224.5,30495.0,958.0,9999.727272727272,233.5,1971.0,10457.5
2016200,81.5,13490.0,4321.206766917293,6632.0,475.5,2031.5116279069769,721.5,59220.5,30495.678571428572,971.0,10000.0,244.5,1969.5116279069769,10470.849112426036
2016300,79.5,13489.5,4321.197452229299,6632.0,470.5,2031.515625,717.5,59218.5,30495.716216216217,966.5,10000.0,240.5,1968.515625,10466.5
2016400,78.5,13491.5,4321.0,6632.5,468.5,2031.6363636363637,715.5,59223.52222222222,30494.344444444443,964.5,10000.0,238.5,1970.923076923077,10464.0
